ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182319,2.62,5.04,2.62,51.50,134.00
230823182319,2.62,5.15,2.62,53.10,138.00
230823182319,2.62,4.91,2.62,49.90,128.00
230823182319,2.62,5.34,2.63,55.40,144.00
230823182319,2.62,5.29,2.62,52.40,138.00
230823182319,2.62,5.02,2.63,50.90,132.00
230823182319,2.62,5.08,2.62,50.60,132.00
230823182319,2.62,5.19,2.62,52.40,138.00
230823182320,2.61,5.15,2.62,53.10,138.00
230823182320,2.62,5.34,2.62,53.20,138.00
230823182320,2.62,4.88,2.62,49.70,132.00
230823182320,2.62,5.14,2.62,55.00,144.00
230823182320,2.62,5.30,2.62,53.10,140.00
230823182320,2.62,4.45,2.62,44.60,118.00
230823182320,2.62,5.13,2.62,49.80,132.00
230823182321,2.62,5.36,2.62,52.20,138.00
230823182321,2.62,4.88,2.62,49.90,134.00
230823182321,2.62,5.01,2.62,51.00,128.00
230823182321,2.62,5.37,2.62,52.80,140.00
230823182321,2.62,4.70,2.62,45.70,122.00
230823182321,2.62,5.20,2.62,53.50,140.00
230823182321,2.62,4.99,2.62,52.40,138.00
230823182321,2.62,4.93,2.62,49.20,128.00
230823182322,2.62,5.21,2.62,52.90,128.00
230823182322,2.62,5.14,2.62,50.50,132.00
230823182322,2.62,4.89,2.62,49.40,128.00
230823182322,2.62,5.14,2.62,52.00,132.00
230823182322,2.62,4.80,2.62,47.60,124.00
230823182322,2.62,4.87,2.62,50.10,134.00
230823182322,2.61,4.84,2.62,48.60,128.00
230823182323,2.62,5.50,2.63,52.20,138.00
230823182323,2.62,5.38,2.63,53.60,140.00
230823182323,2.61,5.00,2.62,50.60,132.00
230823182323,2.62,4.64,2.62,45.60,118.00
230823182323,2.62,5.35,2.63,55.20,144.00
230823182323,2.62,5.05,2.62,51.20,134.00
230823182323,2.62,5.36,2.62,54.90,132.00
230823182324,2.62,5.21,2.62,53.40,140.00
230823182324,2.62,4.85,2.62,48.90,128.00
230823182324,2.62,4.95,2.62,50.10,132.00
230823182324,2.62,5.00,2.62,49.80,132.00
230823182324,2.62,5.08,2.62,51.50,134.00
230823182324,2.61,5.26,2.62,52.40,138.00
230823182324,2.62,5.48,2.62,54.20,144.00
230823182324,2.62,5.02,2.62,52.00,138.00
230823182325,2.62,5.42,2.62,52.70,138.00
230823182325,2.62,4.80,2.62,48.40,128.00
230823182325,2.62,5.20,2.63,52.50,138.00
230823182325,2.62,5.14,2.63,52.10,138.00
230823182325,2.62,5.42,2.62,53.50,140.00
230823182325,2.62,5.46,2.62,55.60,144.00
